Id,parent,type,attribute,tree branch cond,tree branch value, child_node id,class
1 , 0 , Decision , x1 , <= , 0.575648051 , 2,
,,,,> , 0.575648051 , 39,

2 , 1 , Decision , x2 , <= , 0.536733255 , 3,
,,,,> , 0.536733255 , 10,

3 , 2 , Decision , x2 , <= , 0.501180635 , 4,
,,,,> , 0.501180635 , 5,

4 , 3 , Leaf ,   , ,,,0,
5 , 3 , Decision , x1 , <= , 0.474676158 , 6,
,,,,> , 0.474676158 , 7,

6 , 5 , Leaf ,   , ,,,0,
7 , 5 , Decision , x1 , <= , 0.503478052 , 8,
,,,,> , 0.503478052 , 9,

8 , 7 , Leaf ,   , ,,,0,
9 , 7 , Leaf ,   , ,,,1,
10 , 2 , Decision , x1 , <= , 0.274350339 , 11,
,,,,> , 0.274350339 , 30,

11 , 10 , Decision , x2 , <= , 0.763103142 , 12,
,,,,> , 0.763103142 , 13,

12 , 11 , Leaf ,   , ,,,0,
13 , 11 , Decision , x1 , <= , 0.124498087 , 14,
,,,,> , 0.124498087 , 19,

14 , 13 , Decision , x2 , <= , 0.921101785 , 15,
,,,,> , 0.921101785 , 16,

15 , 14 , Leaf ,   , ,,,0,
16 , 14 , Decision , x1 , <= , 0.043779534 , 17,
,,,,> , 0.043779534 , 18,

17 , 16 , Leaf ,   , ,,,0,
18 , 16 , Leaf ,   , ,,,1,
19 , 13 , Decision , x2 , <= , 0.836016056 , 20,
,,,,> , 0.836016056 , 29,

20 , 19 , Decision , x1 , <= , 0.22189409 , 21,
,,,,> , 0.22189409 , 28,

21 , 20 , Decision , x1 , <= , 0.176010178 , 22,
,,,,> , 0.176010178 , 23,

22 , 21 , Leaf ,   , ,,,0,
23 , 21 , Decision , x2 , <= , 0.788833514 , 24,
,,,,> , 0.788833514 , 25,

24 , 23 , Leaf ,   , ,,,0,
25 , 23 , Decision , x1 , <= , 0.194732372 , 26,
,,,,> , 0.194732372 , 27,

26 , 25 , Leaf ,   , ,,,0,
27 , 25 , Leaf ,   , ,,,1,
28 , 20 , Leaf ,   , ,,,1,
29 , 19 , Leaf ,   , ,,,1,
30 , 10 , Decision , x2 , <= , 0.630764851 , 31,
,,,,> , 0.630764851 , 38,

31 , 30 , Decision , x1 , <= , 0.406988351 , 32,
,,,,> , 0.406988351 , 33,

32 , 31 , Leaf ,   , ,,,0,
33 , 31 , Decision , x2 , <= , 0.574891189 , 34,
,,,,> , 0.574891189 , 37,

34 , 33 , Decision , x1 , <= , 0.455897024 , 35,
,,,,> , 0.455897024 , 36,

35 , 34 , Leaf ,   , ,,,0,
36 , 34 , Leaf ,   , ,,,1,
37 , 33 , Leaf ,   , ,,,1,
38 , 30 , Leaf ,   , ,,,1,
39 , 1 , Decision , x2 , <= , 0.280699761 , 40,
,,,,> , 0.280699761 , 51,

40 , 39 , Decision , x1 , <= , 0.786347202 , 41,
,,,,> , 0.786347202 , 42,

41 , 40 , Leaf ,   , ,,,0,
42 , 40 , Decision , x2 , <= , 0.105293279 , 43,
,,,,> , 0.105293279 , 46,

43 , 42 , Decision , x1 , <= , 0.94414585 , 44,
,,,,> , 0.94414585 , 45,

44 , 43 , Leaf ,   , ,,,0,
45 , 43 , Leaf ,   , ,,,1,
46 , 42 , Decision , x1 , <= , 0.830750548 , 47,
,,,,> , 0.830750548 , 50,

47 , 46 , Decision , x2 , <= , 0.202833945 , 48,
,,,,> , 0.202833945 , 49,

48 , 47 , Leaf ,   , ,,,0,
49 , 47 , Leaf ,   , ,,,1,
50 , 46 , Leaf ,   , ,,,1,
51 , 39 , Decision , x2 , <= , 0.381722215 , 52,
,,,,> , 0.381722215 , 55,

52 , 51 , Decision , x1 , <= , 0.647719403 , 53,
,,,,> , 0.647719403 , 54,

53 , 52 , Leaf ,   , ,,,0,
54 , 52 , Leaf ,   , ,,,1,
55 , 51 , Leaf ,   , ,,,1,
